;office_name;county_id;candidate_name;party_affiliation;county_num_precincts_reporting;county_total_num_precincts_voting;candidate_votes;candidate_percent_vote
111;SOIL AND WATER SUPERVISOR DISTRICT 4;8;ERNEST VOGEL                                   ;NP;32;32;10549;99.74
112;SOIL AND WATER SUPERVISOR DISTRICT 4;8;WRITE IN                                       ;WI;32;32;28;0.26
113;SOIL AND WATER SUPERVISOR DISTRICT 5;8;RALPH H STADICK                                ;NP;32;32;10712;99.76
114;SOIL AND WATER SUPERVISOR DISTRICT 5;8;WRITE IN                                       ;WI;32;32;26;0.24
115;COUNTY COMMISSIONER DISTRICT 1;9;DICK BRENNER                                   ;NP;39;39;2544;98.68
116;COUNTY COMMISSIONER DISTRICT 1;9;WRITE IN                                       ;WI;39;39;34;1.32
117;COUNTY COMMISSIONER DISTRICT 3;9;JAMES RUZIC                                    ;NP;39;39;866;33.96
118;COUNTY COMMISSIONER DISTRICT 3;9;MEL TAN                                        ;NP;39;39;1677;65.76
119;COUNTY COMMISSIONER DISTRICT 3;9;WRITE IN                                       ;WI;39;39;7;0.27
120;COUNTY COMMISSIONER DISTRICT 5;9;TED PIHLMAN                                    ;NP;39;39;1580;61.53
121;COUNTY COMMISSIONER DISTRICT 5;9;DANIEL REED                                    ;NP;39;39;970;37.77
122;COUNTY COMMISSIONER DISTRICT 5;9;WRITE IN                                       ;WI;39;39;18;0.7
123;SOIL AND WATER SUPERVISOR DISTRICT 1;9;BARBARA DAHL                                   ;NP;39;39;12661;99.43
124;SOIL AND WATER SUPERVISOR DISTRICT 1;9;WRITE IN                                       ;WI;39;39;73;0.57
125;SOIL AND WATER SUPERVISOR DISTRICT 4;9;CAROL E HAUCK                                  ;NP;39;39;12382;99.43
126;SOIL AND WATER SUPERVISOR DISTRICT 4;9;WRITE IN                                       ;WI;39;39;71;0.57
127;SOIL AND WATER SUPERVISOR DISTRICT 5;9;MARK THELL                                     ;NP;39;39;12456;99.55
128;SOIL AND WATER SUPERVISOR DISTRICT 5;9;WRITE IN                                       ;WI;39;39;56;0.45
129;COUNTY COMMISSIONER DISTRICT 1;10;JULIANNE ORTMAN                                ;NP;33;33;4044;55.15
130;COUNTY COMMISSIONER DISTRICT 1;10;BRAD JOHNSON                                   ;NP;33;33;3260;44.46
131;COUNTY COMMISSIONER DISTRICT 1;10;WRITE IN                                       ;WI;33;33;29;0.4
132;COUNTY COMMISSIONER DISTRICT 2;10;HARLAN DOBRATZ                                 ;NP;33;33;3100;48.08
133;COUNTY COMMISSIONER DISTRICT 2;10;PAUL NEUMANN                                   ;NP;33;33;3325;51.57
134;COUNTY COMMISSIONER DISTRICT 2;10;WRITE IN                                       ;WI;33;33;22;0.34
135;COUNTY COMMISSIONER DISTRICT 3;10;JAMES (JIM) ISCHE                              ;NP;33;33;3669;79.24
136;COUNTY COMMISSIONER DISTRICT 3;10;JIM KUHL                                       ;NP;33;33;952;20.56
137;COUNTY COMMISSIONER DISTRICT 3;10;WRITE IN                                       ;WI;33;33;9;0.19
138;SOIL AND WATER SUPERVISOR DISTRICT 1;10;JIM MAIN                                       ;NP;33;33;26254;99
139;SOIL AND WATER SUPERVISOR DISTRICT 1;10;WRITE IN                                       ;WI;33;33;266;1
140;SOIL AND WATER SUPERVISOR DISTRICT 2;10;SCOTT HOESE                                    ;NP;33;33;26365;99.4
141;SOIL AND WATER SUPERVISOR DISTRICT 2;10;WRITE IN                                       ;WI;33;33;160;0.6
142;SOIL AND WATER SUPERVISOR DISTRICT 3;10;JOHN DETTMANN                                  ;NP;33;33;26016;99.4
143;SOIL AND WATER SUPERVISOR DISTRICT 3;10;WRITE IN                                       ;WI;33;33;157;0.6
144;COUNTY COMMISSIONER DISTRICT 2;11;NORM ROGERS                                    ;NP;72;72;1046;33.72
145;COUNTY COMMISSIONER DISTRICT 2;11;JAMES DEMGEN                                   ;NP;72;72;2045;65.93
146;COUNTY COMMISSIONER DISTRICT 2;11;WRITE IN                                       ;WI;72;72;11;0.35
147;COUNTY COMMISSIONER DISTRICT 4;11;JIM DOWSON                                     ;NP;72;72;1390;54.45
148;COUNTY COMMISSIONER DISTRICT 4;11;JIM WORCESTER                                  ;NP;72;72;1121;43.91
149;COUNTY COMMISSIONER DISTRICT 4;11;WRITE IN                                       ;WI;72;72;42;1.65
150;SOIL AND WATER SUPERVISOR DISTRICT 2;11;CALVIN MARTIN                                  ;NP;72;72;9978;99.35
151;SOIL AND WATER SUPERVISOR DISTRICT 2;11;WRITE IN                                       ;WI;72;72;65;0.65
152;SOIL AND WATER SUPERVISOR DISTRICT 3;11;STAN KUMPULA                                   ;NP;72;72;9759;99.47
153;SOIL AND WATER SUPERVISOR DISTRICT 3;11;WRITE IN                                       ;WI;72;72;52;0.53
