state;county_id;precinct_name;office_id;office_name;district;candidate_order_code;candidate_name;suffix;incumbent_code;party_affiliation;county_num_precincts_reporting;county_total_num_precincts_voting;candidate_votes;candidate_percent_vote;total_race_votes
MN;38;NA;NA;COUNTY COMMISSIONER DISTRICT 3;NA;NA;BILL KOSIAK                                    ;NA;NA;NP;18;18;20;3.34;NA
MN;38;NA;NA;COUNTY COMMISSIONER DISTRICT 3;NA;NA;GERALD "JERRY" CARLSON                         ;NA;NA;NP;18;18;336;56.09;NA
MN;38;NA;NA;COUNTY COMMISSIONER DISTRICT 3;NA;NA;LARRY "LOOPER" LARSON                          ;NA;NA;NP;18;18;219;36.56;NA
MN;38;NA;NA;COUNTY COMMISSIONER DISTRICT 3;NA;NA;DARREL N COLEMAN                               ;NA;NA;NP;18;18;24;4.01;NA
MN;38;NA;NA;COUNTY COMMISSIONER DISTRICT 5;NA;NA;LENORE M JOHNSON                               ;NA;NA;NP;18;18;252;36.57;NA
MN;38;NA;NA;COUNTY COMMISSIONER DISTRICT 5;NA;NA;JEFFREY L TURNQUIST                            ;NA;NA;NP;18;18;41;5.95;NA
MN;38;NA;NA;COUNTY COMMISSIONER DISTRICT 5;NA;NA;KEITH LARSON                                   ;NA;NA;NP;18;18;145;21.04;NA
MN;38;NA;NA;COUNTY COMMISSIONER DISTRICT 5;NA;NA;MYRON VOLD                                     ;NA;NA;NP;18;18;136;19.74;NA
MN;38;NA;NA;COUNTY COMMISSIONER DISTRICT 5;NA;NA;DICK SVIR                                      ;NA;NA;NP;18;18;115;16.69;NA
MN;39;NA;NA;COUNTY COMMISSIONER DISTRICT 4;NA;NA;TIMOTHY LYON                                   ;NA;NA;NP;14;14;27;9.61;NA
MN;39;NA;NA;COUNTY COMMISSIONER DISTRICT 4;NA;NA;MICHAEL J NEUMILLER                            ;NA;NA;NP;14;14;119;42.35;NA
MN;39;NA;NA;COUNTY COMMISSIONER DISTRICT 4;NA;NA;PATRICK LAVALLA                                ;NA;NA;NP;14;14;135;48.04;NA
MN;39;NA;NA;COUNTY COMMISSIONER DISTRICT 5;NA;NA;BEN TROTTIER                                   ;NA;NA;NP;14;14;57;16.38;NA
MN;39;NA;NA;COUNTY COMMISSIONER DISTRICT 5;NA;NA;EDWARD ARNESEN                                 ;NA;NA;NP;14;14;254;72.99;NA
MN;39;NA;NA;COUNTY COMMISSIONER DISTRICT 5;NA;NA;TIMOTHY G FISH                                 ;NA;NA;NP;14;14;37;10.63;NA
MN;40;NA;NA;COUNTY COMMISSIONER DISTRICT 1;NA;NA;SUSAN MEYER                                    ;NA;NA;NP;29;29;112;11.18;NA
MN;40;NA;NA;COUNTY COMMISSIONER DISTRICT 1;NA;NA;JEROME E SCHLEIS                               ;NA;NA;NP;29;29;508;50.7;NA
MN;40;NA;NA;COUNTY COMMISSIONER DISTRICT 1;NA;NA;TERRY L HAYES                                  ;NA;NA;NP;29;29;382;38.12;NA
MN;42;NA;NA;COUNTY COMMISSIONER DISTRICT 3;NA;NA;PHILIP R. NELSON                               ;NA;NA;NP;33;33;304;47.35;NA
MN;42;NA;NA;COUNTY COMMISSIONER DISTRICT 3;NA;NA;JAMES O. (JIM) ALBEE                           ;NA;NA;NP;33;33;76;11.84;NA
MN;42;NA;NA;COUNTY COMMISSIONER DISTRICT 3;NA;NA;TIM FRUIN                                      ;NA;NA;NP;33;33;262;40.81;NA
MN;44;NA;NA;COUNTY COMMISSIONER DISTRICT 3;NA;NA;DAVID SNETSINGER                               ;NA;NA;NP;19;19;42;31.82;NA
MN;44;NA;NA;COUNTY COMMISSIONER DISTRICT 3;NA;NA;DAVID SIEDSCHLAG                               ;NA;NA;NP;19;19;66;50;NA
MN;44;NA;NA;COUNTY COMMISSIONER DISTRICT 3;NA;NA;LESTER J. TRNKA                                ;NA;NA;NP;19;19;24;18.18;NA
MN;46;NA;NA;COUNTY COMMISSIONER DISTRICT 1;NA;NA;MELVIN BREITBARTH                              ;NA;NA;NP;37;37;163;25.96;NA
MN;46;NA;NA;COUNTY COMMISSIONER DISTRICT 1;NA;NA;LEIGHTON HUGOSON                               ;NA;NA;NP;37;37;197;31.37;NA
MN;46;NA;NA;COUNTY COMMISSIONER DISTRICT 1;NA;NA;JERRY (GERALD) BOLER                           ;NA;NA;NP;37;37;268;42.68;NA
MN;46;NA;NA;COUNTY COMMISSIONER DISTRICT 5;NA;NA;LINDA MESCHKE                                  ;NA;NA;NP;37;37;82;11.14;NA
MN;46;NA;NA;COUNTY COMMISSIONER DISTRICT 5;NA;NA;TERRY D ANDERSON                               ;NA;NA;NP;37;37;134;18.21;NA
MN;46;NA;NA;COUNTY COMMISSIONER DISTRICT 5;NA;NA;JACK POTTER                                    ;NA;NA;NP;37;37;520;70.65;NA
MN;47;NA;NA;COUNTY COMMISSIONER DISTRICT 4;NA;NA;HUGH C WAGNER                                  ;NA;NA;NP;30;30;154;37.75;NA
MN;47;NA;NA;COUNTY COMMISSIONER DISTRICT 4;NA;NA;THOMAS G BURR                                  ;NA;NA;NP;30;30;107;26.23;NA
MN;47;NA;NA;COUNTY COMMISSIONER DISTRICT 4;NA;NA;FRANK F MARSHALL                               ;NA;NA;NP;30;30;147;36.03;NA
MN;48;NA;NA;COUNTY COMMISSIONER DISTRICT 1;NA;NA;DON BARNES                                     ;NA;NA;NP;25;25;82;14.19;NA
MN;48;NA;NA;COUNTY COMMISSIONER DISTRICT 1;NA;NA;DICK JACKSON                                   ;NA;NA;NP;25;25;168;29.07;NA
MN;48;NA;NA;COUNTY COMMISSIONER DISTRICT 1;NA;NA;ROGER C.  NESKE                                ;NA;NA;NP;25;25;328;56.75;NA
MN;49;NA;NA;COUNTY COMMISSIONER DISTRICT 3;NA;NA;JUNE M. VARNER                                 ;NA;NA;NP;49;49;234;30.15;NA
MN;49;NA;NA;COUNTY COMMISSIONER DISTRICT 3;NA;NA;EUGENE (GENE) YOUNG                            ;NA;NA;NP;49;49;272;35.05;NA
